圏域,カード種別,【入場】圏域,【入場】事業者名,【入場】路線名,【入場】駅名,【入場】都道府県,【入場】市町村区,【入場】時間帯,【出場】圏域,【出場】事業者名,【出場】路線名,【出場】駅名,【出場】都道府県,【出場】市町村区,所要時間（５分単位）,人数
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,20,1.首都圏,東京地下鉄,有楽町線,氷川台,東京都,練馬区,20,25
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,中野坂上,東京都,中野区,9,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,10,33
1.首都圏,ICOCA,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,13,1.首都圏,東京地下鉄,千代田線,赤坂,東京都,港区,35,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,南阿佐ケ谷,東京都,杉並区,18,1.首都圏,東京地下鉄,丸ノ内線（１）,四谷三丁目,東京都,新宿区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,国会議事堂前,東京都,千代田区,14,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,15,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,京橋,東京都,中央区,21,1.首都圏,東京地下鉄,丸ノ内線（１）,新中野,東京都,中野区,35,1
1.首都圏,モノレールSuica,1.首都圏,東京地下鉄,銀座線,外苑前,東京都,港区,13,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,15,1.首都圏,東京地下鉄,東西線,南行徳,千葉県,市川市,35,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,西船橋,千葉県,船橋市,17,1.首都圏,東京地下鉄,東西線,原木中山,千葉県,船橋市,15,18
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,北綾瀬,東京都,足立区,14,1.首都圏,東京地下鉄,日比谷線,東銀座,東京都,中央区,40,2
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,青山一丁目,東京都,港区,20,1.首都圏,東京地下鉄,丸ノ内線（１）,四ツ谷,東京都,新宿区,10,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,青山一丁目,東京都,港区,21,1.首都圏,東京地下鉄,有楽町線,和光市,埼玉県,和光市,50,2
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,外苑前,東京都,港区,17,1.首都圏,東京地下鉄,半蔵門線,神保町,東京都,千代田区,20,4
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,22,1.首都圏,東京地下鉄,東西線,葛西,東京都,江戸川区,25,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,南行徳,千葉県,市川市,5,1.首都圏,東京地下鉄,日比谷線,茅場町,東京都,中央区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,新高円寺,東京都,杉並区,18,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿,東京都,新宿区,20,3
1.首都圏,Suica,1.首都圏,東京地下鉄,南北線,王子,東京都,北区,13,1.首都圏,東京地下鉄,丸ノ内線（１）,四谷三丁目,東京都,新宿区,35,1
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,八丁堀,東京都,中央区,17,1.首都圏,東京地下鉄,南北線,目黒,東京都,品川区,35,1
1.首都圏,Suica,1.首都圏,東京地下鉄,南北線,白金高輪,東京都,港区,13,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,南北線,麻布十番,東京都,港区,21,1.首都圏,東京地下鉄,日比谷線,東銀座,東京都,中央区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,赤坂見附,東京都,港区,20,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,25,1
1.首都圏,モノレールSuica,1.首都圏,東京地下鉄,日比谷線,広尾,東京都,港区,20,1.首都圏,東京地下鉄,東西線,浦安,千葉県,浦安市,50,1
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,銀座一丁目,東京都,中央区,16,1.首都圏,東京地下鉄,東西線,飯田橋,東京都,千代田区,15,4
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿御苑前,東京都,新宿区,13,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,25,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,溜池山王,東京都,千代田区,9,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,15,6
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,荻窪,東京都,杉並区,16,1.首都圏,東京地下鉄,丸ノ内線（１）,四谷三丁目,東京都,新宿区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,浦安,千葉県,浦安市,5,1.首都圏,東京地下鉄,銀座線,日本橋,東京都,中央区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,日本橋,東京都,中央区,23,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,0,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,17,1.首都圏,東京地下鉄,丸ノ内線（１）,東高円寺,東京都,杉並区,45,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,八丁堀,東京都,中央区,16,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,30,6
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,高田馬場,東京都,新宿区,17,1.首都圏,東京地下鉄,日比谷線,茅場町,東京都,中央区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,東高円寺,東京都,杉並区,6,1.首都圏,東京地下鉄,日比谷線,虎ノ門ヒルズ,東京都,港区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,要町,東京都,豊島区,19,1.首都圏,東京地下鉄,有楽町線,千川,東京都,豊島区,10,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,7,1.首都圏,東京地下鉄,丸ノ内線（１）,中野坂上,東京都,中野区,35,1
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,江戸川橋,東京都,文京区,19,1.首都圏,東京地下鉄,有楽町線,新富町,東京都,中央区,25,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,木場,東京都,江東区,8,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,25,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,築地,東京都,中央区,16,1.首都圏,東京地下鉄,東西線,木場,東京都,江東区,15,1
1.首都圏,pitapa,1.首都圏,東京地下鉄,千代田線,綾瀬,東京都,足立区,19,1.首都圏,東京地下鉄,日比谷線,北千住,東京都,足立区,10,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,東陽町,東京都,江東区,14,1.首都圏,東京地下鉄,東西線,葛西,東京都,江戸川区,20,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,東京,東京都,千代田区,21,1.首都圏,東京地下鉄,有楽町線,小竹向原,東京都,練馬区,30,1
1.首都圏,モノレールSuica,1.首都圏,東京地下鉄,千代田線,綾瀬,東京都,足立区,9,1.首都圏,東京地下鉄,日比谷線,築地,東京都,中央区,50,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,虎ノ門,東京都,港区,13,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,10,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,19,1.首都圏,東京地下鉄,南北線,王子神谷,東京都,北区,40,1
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,明治神宮前,東京都,渋谷区,13,1.首都圏,東京地下鉄,丸ノ内線（１）,荻窪,東京都,杉並区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,15,1.首都圏,東京地下鉄,有楽町線,新木場,東京都,江東区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,千駄木,東京都,文京区,23,1.首都圏,東京地下鉄,千代田線,北綾瀬,東京都,足立区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,広尾,東京都,港区,16,1.首都圏,東京地下鉄,日比谷線,日比谷,東京都,千代田区,0,4
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,18,1.首都圏,東京地下鉄,丸ノ内線（２）,方南町,東京都,杉並区,40,1
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,明治神宮前,東京都,渋谷区,15,1.首都圏,東京地下鉄,千代田線,綾瀬,東京都,足立区,40,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,15,1.首都圏,東京地下鉄,有楽町線,新木場,東京都,江東区,45,3
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,14,1.首都圏,東京地下鉄,日比谷線,八丁堀,東京都,中央区,20,5
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,15,1.首都圏,東京地下鉄,銀座線,虎ノ門,東京都,港区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,恵比寿,東京都,渋谷区,18,1.首都圏,東京地下鉄,丸ノ内線（１）,後楽園,東京都,文京区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,氷川台,東京都,練馬区,21,1.首都圏,東京地下鉄,有楽町線,東池袋,東京都,豊島区,15,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,市ケ谷,東京都,新宿区,10,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,25,2
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,15,1.首都圏,東京地下鉄,千代田線,赤坂,東京都,港区,20,2
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿,東京都,新宿区,13,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,20,4
1.首都圏,ICOCA,1.首都圏,東京地下鉄,東西線,神楽坂,東京都,新宿区,8,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,15,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,半蔵門線,清澄白河,東京都,江東区,17,1.首都圏,東京地下鉄,東西線,九段下,東京都,千代田区,25,2
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,小伝馬町,東京都,中央区,13,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,40,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,上野,東京都,台東区,16,1.首都圏,東京地下鉄,東西線,木場,東京都,江東区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,銀座一丁目,東京都,中央区,11,1.首都圏,東京地下鉄,有楽町線,有楽町,東京都,千代田区,20,1
